name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"James Harden","Houston Rockets",2017-03-31,2016,3992,1610612745,400900531,3,7,59,0,"Alley Oop Layup shot","2PT Field Goal",2,"Golden State Warriors",-14,18,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-01-18,2016,3992,1610612745,400900053,1,6,36,1,"Cutting Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-12-20,2016,3992,1610612745,400899867,1,8,19,1,"Cutting Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-12-01,2016,3992,1610612745,400899436,1,9,17,1,"Cutting Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-11-01,2016,3992,1610612745,400899497,1,3,13,1,"Cutting Layup Shot","2PT Field Goal",0,"Cleveland Cavaliers",9,-1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-12-20,2016,3992,1610612745,400899867,3,6,22,1,"Cutting Layup Shot","2PT Field Goal",2,"San Antonio Spurs",-24,7,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-01-29,2016,3992,1610612745,400900134,1,0,44,1,"Cutting Layup Shot","2PT Field Goal",1,"Indiana Pacers",-14,11,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-12-12,2016,3992,1610612745,400899806,2,2,57,0,"Cutting Layup Shot","2PT Field Goal",1,"Brooklyn Nets",6,16,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-03-15,2016,3992,1610612745,400900405,1,1,45,1,"Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",-4,-16,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-11-09,2016,3992,1610612745,0,1,3,57,1,"Driving Bank shot","2PT Field Goal",3,"San Antonio Spurs",-30,18,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-12-12,2016,3992,1610612745,400899806,3,5,13,0,"Driving Bank shot","2PT Field Goal",9,"Brooklyn Nets",-68,65,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-11-07,2016,3992,1610612745,400899544,2,5,06,1,"Driving Bank shot","2PT Field Goal",4,"Washington Wizards",-43,18,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-11-01,2016,3992,1610612745,400899497,2,5,53,1,"Driving Bank shot","2PT Field Goal",10,"Cleveland Cavaliers",-97,26,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-01-15,2016,3992,1610612745,400900030,3,6,00,0,"Driving Bank shot","2PT Field Goal",5,"Brooklyn Nets",1,56,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-11-09,2016,3992,1610612745,0,1,9,19,1,"Driving Bank shot","2PT Field Goal",6,"San Antonio Spurs",-55,41,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-03-20,2016,3992,1610612745,400900443,1,10,49,0,"Driving Bank shot","2PT Field Goal",11,"Denver Nuggets",-101,47,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-12-27,2016,3992,1610612745,400899916,1,5,51,1,"Driving Bank shot","2PT Field Goal",5,"Dallas Mavericks",42,31,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-11-09,2016,3992,1610612745,0,2,0,46,1,"Driving Bank shot","2PT Field Goal",3,"San Antonio Spurs",-32,11,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-12-10,2016,3992,1610612745,400899794,1,8,43,1,"Driving Bank shot","2PT Field Goal",4,"Dallas Mavericks",-40,26,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-03-18,2016,3992,1610612745,400900429,2,1,36,1,"Driving Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-12-20,2016,3992,1610612745,400899867,1,6,39,1,"Driving Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-02-03,2016,3992,1610612745,400900154,4,3,36,1,"Driving Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-11-02,2016,3992,1610612745,400899508,1,0,01,1,"Driving Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-11-02,2016,3992,1610612745,400899508,1,8,58,1,"Driving Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-12-26,2016,3992,1610612745,400899909,1,6,19,1,"Driving Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-01-27,2016,3992,1610612745,400900115,3,9,05,1,"Driving Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-12-23,2016,3992,1610612745,400899890,3,7,16,1,"Driving Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-11-14,2016,3992,1610612745,400899599,1,2,30,1,"Driving Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-12-31,2016,3992,1610612745,400899946,4,7,35,0,"Driving Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-01-13,2016,3992,1610612745,400900016,4,0,20,1,"Driving Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-11-01,2016,3992,1610612745,400899497,4,0,27,1,"Driving Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,0,0.00,,0.00,0.00
