name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Kawhi Leonard","San Antonio Spurs",2017-02-13,2016,6450,1610612759,400900230,3,5,11,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Indiana Pacers",19,11,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-12-15,2016,6450,1610612759,400899829,4,9,51,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-12-18,2016,6450,1610612759,400899854,3,6,57,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-11-25,2016,6450,1610612759,400899675,3,9,38,1,"Alley Oop Layup shot","2PT Field Goal",2,"Boston Celtics",22,2,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-12-18,2016,6450,1610612759,400899854,1,0,38,1,"Alley Oop Layup shot","2PT Field Goal",1,"New Orleans Pelicans",9,11,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-11-12,2016,6450,1610612759,400899584,3,8,34,1,"Alley Oop Layup shot","2PT Field Goal",1,"Houston Rockets",-4,13,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2017-03-27,2016,6450,1610612759,400900494,4,11,16,1,"Cutting Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-12-23,2016,6450,1610612759,400899896,4,7,46,1,"Cutting Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-11-09,2016,6450,1610612759,0,4,2,39,1,"Cutting Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-11-25,2016,6450,1610612759,400899675,3,7,25,1,"Cutting Dunk Shot","2PT Field Goal",0,"Boston Celtics",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-11-12,2016,6450,1610612759,400899584,4,4,13,1,"Cutting Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-10-30,2016,6450,1610612759,400899487,3,8,16,1,"Cutting Layup Shot","2PT Field Goal",1,"Miami Heat",4,11,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2017-03-29,2016,6450,1610612759,400900513,1,2,43,1,"Cutting Layup Shot","2PT Field Goal",2,"Golden State Warriors",14,16,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2017-02-04,2016,6450,1610612759,400900167,3,3,26,1,"Cutting Layup Shot","2PT Field Goal",1,"Denver Nuggets",0,16,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-12-05,2016,6450,1610612759,400899751,4,4,32,1,"Driving Bank Hook Shot","2PT Field Goal",2,"Milwaukee Bucks",19,16,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-11-09,2016,6450,1610612759,0,4,7,03,0,"Driving Bank shot","2PT Field Goal",6,"Houston Rockets",56,36,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2017-01-07,2016,6450,1610612759,400899979,2,0,33,1,"Driving Bank shot","2PT Field Goal",9,"Charlotte Hornets",87,31,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-11-14,2016,6450,1610612759,400899600,1,3,12,0,"Driving Bank shot","2PT Field Goal",8,"Miami Heat",-74,51,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-11-09,2016,6450,1610612759,0,2,1,51,1,"Driving Bank shot","2PT Field Goal",4,"Houston Rockets",42,18,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2017-01-14,2016,6450,1610612759,400900026,2,2,04,1,"Driving Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2017-01-21,2016,6450,1610612759,400900078,5,0,07,1,"Driving Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-12-08,2016,6450,1610612759,400899778,3,5,48,1,"Driving Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-11-05,2016,6450,1610612759,400899536,1,10,59,1,"Driving Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2017-01-31,2016,6450,1610612759,400900148,4,5,00,1,"Driving Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2017-02-08,2016,6450,1610612759,400900187,2,4,10,1,"Driving Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-12-08,2016,6450,1610612759,400899778,2,6,12,1,"Driving Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-10-30,2016,6450,1610612759,400899487,4,6,04,1,"Driving Dunk Shot","2PT Field Goal",0,"Miami Heat",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-12-22,2016,6450,1610612759,400899883,2,1,57,1,"Driving Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2017-02-24,2016,6450,1610612759,400900271,1,7,31,1,"Driving Dunk Shot","2PT Field Goal",1,"Los Angeles Clippers",9,7,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-12-22,2016,6450,1610612759,400899883,3,5,42,1,"Driving Dunk Shot","2PT Field Goal",1,"Los Angeles Clippers",-1,16,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-12-05,2016,6450,1610612759,400899751,4,10,11,1,"Driving Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2017-03-15,2016,6450,1610612759,400900406,3,8,09,1,"Driving Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,0,0.00,,0.00,0.00
